Lavonia Bernhard, Ivysaur, baboon
Merle Bode, Wartortle, snake
Joy Considine, Arcanine, serval
Yu Wiegand, Slowpoke, cat
Celena Lynch, Nidoran, mule
Boyd Willms, Venonat, weasel
Sandy Schamberger MD, Hitmonchan, fox
Miss Shari Schamberger, Poliwhirl, water buffalo
Monte Morar, Zapdos, raven
Truman Stiedemann, Zapdos, wildebeest
Miss Melodi Fisher, Weezing, gnat
Mitchel Flatley DDS, Squirtle, herring
Miss Lore Waelchi, Venonat, shark
Sophie Goyette, Gloom, cattle
Gita Heathcote, Horsea, mallard
Hye Runte DVM, Jigglypuff, porcupine
Chase Konopelski, Cloyster, gerbil
Mark Mueller, Growlithe, reindeer
Tyron Pfannerstill, Growlithe, termite
Mrs. Agustina Padberg, Metapod, bat
Gilberto Tremblay, Doduo, guinea pig
Jinny Nader, Vileplume, skunk
Erasmo Wintheiser, Squirtle, yak
Kitty Wolf, Growlithe, mink
Tawanna Haag, Nidorino, lion
Lynda Fisher, Tentacruel, impala
Broderick Carter V, Paras, tortoise
Fermin Schmidt, Gyarados, lizard
Karl Will, Ivysaur, frog
Jackson Kiehn, Kabuto, woodchuck
Elmo Hodkiewicz, Vileplume, crocodile
Kristy Lakin, Muk, hare
Korey Klocko, Machop, cockroach
Mario O'Kon, Mew, dolphin
Mrs. Bo Brakus, Exeggcute, gorilla
Nikki Russel, Venomoth, bat
Elliott Cremin, Charmander, cattle
Miss Antonia Howe, Weedle, hyena
Genna Lebsack DDS, Dragonite, butterfly
Randy Romaguera, Muk, koala
Ms. Mariano Smitham, Parasect, raven
Milo Carroll DDS, Horsea, fox
Robt Kerluke, Seaking, serval
Rae Lebsack, Kakuna, sardine
Miss Sharilyn Grimes, Ivysaur, antelope
Abby Ratke, Charmeleon, macaw
Nathaniel Schmidt, Poliwrath, eagle
Phyliss Kuvalis, Gengar, badger
Donald Blanda, Wigglytuff, kangaroo
Mr. Glinda Christiansen, Goldeen, spider
