Marty Turcotte, Omanyte, cicada
Juliana Blick V, Hitmonchan, hamster
Roseanne Hartmann III, Venusaur, wallaby
Leonardo Lubowitz, Pikachu, manatee
Elna Legros, Moltres, mink
Fallon Lubowitz, Slowpoke, hyena
Mira Goyette, Pidgeotto, butterfly
Curtis Jast, Arbok, bear
Mindi Nikolaus V, Ivysaur, mosquito
Windy Bergnaum, Arbok, salmon
Carlo Mann, Dragonite, sheep
Dion Prosacco II, Magmar, crocodile
Patricia Jast, Poliwag, chimpanzee
Emerald Leffler Sr., Weedle, fly
Austin Stanton MD, Venomoth, horse
Margarete Conn, Seel, spider
Noel Mosciski, Tentacool, bear
Frederic Rutherford, Rapidash, marten
Son Wyman, Omanyte, eagle
Michelle Cronin, Raticate, muskrat
Miss Mack Price, Cubone, wasp
Dr. Sylvester Auer, Voltorb, yellowjacket
Ms. Lai Berge, Tangela, walrus
Bernarda Adams, Ninetales, snail
Dorian Donnelly III, Rapidash, muskrat
Glenn Carter, Tangela, fish
Roman Wiegand, Oddish, marten
Miss Roy Kuhn, Marowak, leopard
Myesha Raynor, Drowzee, fly
Concha Nikolaus II, Electrode, goose
Chet Ward, Nidorino, wildebeest
Ms. Clare Nicolas, Meowth, fox
Erwin Gleason, Weedle, herring
Casandra Hand, Tentacool, alpaca
Micah O'Reilly DDS, Growlithe, marten
Maryann Altenwerth, Muk, hamster
Gregg Pollich, Jynx, worm
Carlton Wisozk, Charmander, bear
Dorian Cartwright, Electrode, seal
Dannie Keeling, Graveler, chimpanzee
Tad Abbott, Tentacruel, caribou
Douglas Morar, Articuno, cod
Maximina Ratke, Voltorb, mouse
Clifford Howell, Tauros, louse
Isela Spinka, Jolteon, worm
Milly Moore, Growlithe, mole
Cory Conn, Primeape, raccoon
Rod Breitenberg, Cloyster, rhinoceros
Krystin Shields, Cloyster, gorilla
Rhiannon Hagenes, Kakuna, mouse
