Winston Hegmann, Machamp, mole
Dr. Diana Bogan, Cloyster, herring
Stephen Effertz II, Clefairy, zebra
Andera Kiehn, Psyduck, hare
Karla Hahn, Venonat, leopard
Humberto McLaughlin, Moltres, woodchuck
Marilynn Fisher, Grimer, giraffe
Basil Torp, Metapod, muskrat
Mr. Corazon Farrell, Arbok, mosquito
Antione Lakin, Dragonair, jackal
Kelley Kris, Clefable, macaw
Sarai Terry, Weepinbell, yellowjacket
Pasty Lakin, Zubat, rhinoceros
Madison Gulgowski, Dewgong, elk
Jerrold Greenfelder, Oddish, horse
Houston Murray, Eevee, platypus
Dr. Cortney Lockman, Primeape, wildebeest
Nellie Kozey, Zubat, jellyfish
Devon King, Nidoking, rabbit
Lucille Donnelly, Muk, kangaroo
Tamekia Beer, Omanyte, fish
Shonta Kuphal, Electrode, gorilla
Micah Blanda Sr., Vulpix, sardine
Lonny Littel V, Meowth, fox
Loyd Larkin, Arcanine, leopard
Mrs. Elliott Watsica, Hitmonchan, buffalo
Amparo Upton, Charizard, snake
Carlton Hagenes, Pinsir, beetle
Tarsha Buckridge, Articuno, goose
Ms. Garret Gusikowski, Seaking, cat
Lashandra Nikolaus, Sandshrew, alligator
Justina Homenick, Persian, dog
Dr. Roni Bergnaum, Magmar, sardine
Eldon Kassulke II, Marowak, gnu
Dr. Erich Wuckert, Raticate, snake
Riley Waelchi, Hitmonlee, raven
Kandis Kiehn Jr., Magikarp, muskrat
Gerda Zulauf PhD, Blastoise, porcupine
Maria Ebert MD, Mankey, wolf
Augustine Kutch, Onix, macaw
Jaymie Kunze I, Rhydon, termite
Wendell Zulauf, Chansey, mole
Lionel Hammes, Charmander, trout
Long Dach, Oddish, bear
Angela Heathcote, Marowak, weasel
Buster Nitzsche, Nidoking, crocodile
Denisha Mitchell, Nidorina, water buffalo
Kerri Grant, Aerodactyl, wildebeest
Maricela Bruen, Blastoise, locust
Wes Champlin DDS, Seadra, squirrel
