Tiffiny Koepp, Marowak, wildebeest
Emilio Schmidt, Eevee, cockroach
Amal Roberts, Seel, cat
Charissa Schaefer, Ekans, hamster
Morton Renner, Dodrio, bear
Kelsi Mayer, Meowth, alligator
Hue Douglas, Raichu, horse
Lorriane Halvorson, Omastar, hound
Bryce Schneider, Gengar, walrus
Olin Beatty, Beedrill, squirrel
Wyatt Rau DVM, Voltorb, porpoise
Mr. Sheena Casper, Haunter, monkey
Peggie Schneider II, Sandshrew, lizard
Tia Cruickshank DDS, Kadabra, hyena
Williams Frami, Victreebel, buffalo
Miss Wanda Schoen, Rapidash, jackal
Ms. Elza O'Hara, Aerodactyl, buffalo
Pilar Donnelly, Mewtwo, bee
Margene Dicki, Charmeleon, chinchilla
Deetta Thompson, Nidoran, leopard
Albina Berge, Starmie, herring
Jarod Smith, Farfetch'd, jellyfish
Jan Bashirian, Gyarados, muskrat
Alfonzo Jakubowski II, Wartortle, lizard
Demarcus Krajcik, Golbat, snake
Mrs. Roseann Yundt, Machoke, serval
Kayleen Wuckert, Magnemite, elk
Roselyn Schumm, Doduo, woodchuck
Eugenia Ortiz Sr., Moltres, minnow
Dr. Mohammed Mante, Ditto, monkey
Emerita Von, Venonat, worm
Mrs. Gus Cormier, Goldeen, crow
Denise Fay, Staryu, worm
Cynthia Terry, Onix, shark
Harmony Ferry, Rhyhorn, locust
Garrett Emmerich, Charmeleon, wasp
Jesica Kuhn, Onix, lion
Doug Cassin, Golbat, donkey
Kathaleen Bruen, Krabby, mole
Lenora Roberts, Clefairy, mammoth
Korey Glover, Machamp, fly
Yoshie Wilkinson, Weedle, manatee
Ms. Jeanne Gleason, Snorlax, reindeer
Lynn Haag, Fearow, worm
Kris Herzog, Rapidash, hare
Marybeth Hilpert, Snorlax, whale
Mr. Latoria Dicki, Wartortle, hyena
Amado Crona, Geodude, macaw
Jarod Weissnat, Dodrio, swan
Lola Wyman, Golduck, hedgehog
