Eleanore Lind, Weepinbell, baboon
Lynwood Auer, Eevee, serval
Donette Zieme MD, Horsea, kangaroo
Hilaria Cruickshank, Grimer, impala
Zada Huels, Machamp, macaw
Fausto Murphy, Omastar, oyster
Sharyl Koepp, Horsea, cockroach
Roberta MacGyver, Caterpie, mule
Ms. Wendell Kassulke, Koffing, prairie dog
Laverna Conroy, Oddish, gnu
Brendan Renner, Jolteon, kangaroo
Dane Stamm, Drowzee, louse
Mr. Isaac Willms, Lickitung, macaw
Cinda Crooks I, Wigglytuff, koala
Barton Rempel, Seadra, cockroach
Krystina Funk, Hitmonlee, sea lion
Bernie Auer, Machamp, macaw
Mr. Zada Lesch, Lapras, elephant
Maragret McDermott, Seel, marten
Luanne Purdy, Pinsir, crocodile
Xavier Heller, Machamp, hyena
Loreen Wiza, Primeape, eagle
Chang MacGyver, Vileplume, fish
Danial Oberbrunner, Golduck, cod
Griselda Kozey, Alakazam, wombat
Seema Schinner, Muk, hippopotamus
Elwood Ryan, Gyarados, mink
Keisha Hilll V, Gloom, spider
Ricky Will III, Arbok, dolphin
Ezekiel Ward, Lapras, ape
Mrs. Paz Stroman, Dodrio, prairie dog
Ms. Ian Kuhlman, Zapdos, butterfly
Deborah Bogisich, Arbok, raccoon
Alyse Lynch, Haunter, whale
Rico Pollich, Zapdos, woodchuck
Mr. Miriam Wehner, Primeape, moose
Britteny Stiedemann, Metapod, crow
Arturo Steuber, Pikachu, goose
Miss Kory Luettgen, Hypno, louse
Mrs. Edison Altenwerth, Exeggcute, jackal
Roscoe Weimann, Alakazam, sea lion
Lucius Brekke, Nidorina, herring
Raina Johnson Jr., Zapdos, gnu
Tiera Becker, Dratini, crocodile
Marcus Gutmann, Dodrio, antelope
Miss Jinny Balistreri, Vaporeon, badger
Bernardo King, Tentacruel, cattle
Miquel Gaylord, Nidorino, dinosaur
Mignon Rolfson, Machoke, herring
Anderson Pagac Jr., Pidgey, shark
