Perry Schinner, Dragonair, woodchuck
Hal Collins, Abra, marten
Darin Larson Jr., Electabuzz, turtle 
Marcus Romaguera Sr., Persian, sea lion
Dale Schneider, Rapidash, sea lion
Brandon Homenick, Voltorb, manatee
Adriene Christiansen, Jynx, serval
Hilario Dickinson, Bulbasaur, gnat
Ms. Quentin Christiansen, Geodude, koala
Nikki Jones, Nidorino, snail
Ayana Wehner, Tentacool, eel
Mrs. Denese Bashirian, Rhydon, donkey
Celestina Wiegand III, Snorlax, water buffalo
Antonia Wisoky, Mew, camel
Joane Auer, Slowbro, lizard
Roger Roberts, Arbok, yellowjacket
Zaida Anderson, Farfetch'd, dinosaur
Stanley Treutel, Parasect, eagle
Rudolph Muller, Voltorb, raccoon
Bethel Hagenes, Clefable, manatee
Venita Ward, Raticate, leopard
Greg Kunde, Pidgeotto, caribou
Billie Ankunding, Kabutops, koala
Randell Gottlieb DVM, Hitmonlee, badger
Orval Parker, Weedle, yak
Zachariah Rogahn MD, Lapras, mouse
Garry Green, Slowpoke, eel
Bryan Aufderhar, Magneton, badger
Lina McDermott, Krabby, hamster
Ula McLaughlin, Rapidash, bat
Buster McKenzie, Sandslash, alpaca
Oscar Hyatt, Butterfree, alpaca
Maxima Runte IV, Snorlax, leopard
Annita Feeney, Nidorina, yellowjacket
Mrs. Marty Mann, Doduo, llama
Gale Brown, Nidorino, ferret
Bobette Littel, Mankey, alpaca
Dean Schoen DDS, Butterfree, coyote
Mr. Ji Wuckert, Mankey, minnow
Ms. Opal Hickle, Pidgeot, horse
Gerald Quitzon II, Pidgeot, sardine
Bradford Rau, Krabby, sea lion
Adam Gaylord, Electrode, platypus
Lurlene Emmerich, Drowzee, porcupine
Lionel Reichert, Aerodactyl, goose
Dr. Yoshiko McClure, Pikachu, fly
Diego Larson, Venonat, prairie dog
Hilton Durgan MD, Jynx, toad
Arielle Medhurst, Metapod, gorilla
Chia Rogahn, Dewgong, squirrel
