Nathanial Beatty, Venusaur, lizard
Dr. Winston O'Reilly, Fearow, sheep
Morgan Larkin, Pidgeotto, raccoon
Gia Cormier, Kabuto, walrus
Lindsy Lueilwitz, Nidoran, crab
Zina Vandervort, Cubone, rabbit
Micheal Pacocha, Raichu, bear
Cleveland Leuschke, Seadra, ox
Oren Friesen, Rapidash, kangaroo
Randolph Harvey MD, Seel, deer
Solomon Quigley, Omanyte, crocodile
Jefferey Kling, Ivysaur, deer
Reuben Stanton, Magnemite, bee
Man Conn, Rapidash, antelope
Timika Huels, Wartortle, wolf
Maire Jast DVM, Magmar, dog
Cheree Treutel, Machop, hyena
Suanne Wisoky III, Magmar, goat
Rudy Will, Electrode, toad
Tawanna Rolfson, Metapod, mule
Allen Hermiston, Gastly, oyster
Robert Reynolds, Magikarp, rabbit
Mrs. Harlan Spencer, Raticate, gerbil
Fran Huels, Arbok, water buffalo
Willis Morar, Omanyte, mosquito
Hilario Casper Sr., Ditto, oyster
Miss Susie Effertz, Tauros, buffalo
Ms. Lizzette Ledner, Machop, hyena
Dexter Romaguera, Rhyhorn, seal
Ms. Carmella Ritchie, Seel, porpoise
Theo Brakus, Seel, ape
Modesto Gleichner DDS, Seaking, fish
Robert Jacobson, Gengar, dog
Mari Watsica PhD, Hitmonchan, raccoon
Odell Durgan V, Staryu, salmon
Delbert Kirlin, Pinsir, mosquito
Asa Rempel, Pidgeotto, fly
Tamera Roberts, Venomoth, minnow
Regan Gulgowski DVM, Graveler, gorilla
Keven Hegmann, Kadabra, prairie dog
Ilana Mayer, Exeggcute, oyster
Nancy Flatley DVM, Seadra, snail
Christy Lang, Dragonair, hippopotamus
Brock Brown, Ivysaur, water buffalo
Evelina Blanda II, Nidoking, serval
Lee Marquardt, Arbok, marten
Dorsey Reilly, Porygon, rat
Mrs. Darell Legros, Slowbro, walrus
Stewart Willms, Squirtle, platypus
Elenore Hartmann, Raticate, badger
