Loyd Casper, Gloom, rhinoceros
Elvis Lockman, Machop, giraffe
Ramon Barrows II, Omanyte, rabbit
Ernest Wolf, Geodude, porpoise
Del Morissette Sr., Porygon, bat
Gordon Wintheiser, Seel, snake
Branden Hodkiewicz, Kingler, cricket
Chang Kertzmann, Starmie, hamster
Danilo Little, Jigglypuff, raccoon
Dr. Shaunda Leuschke, Squirtle, toad
Weldon Carter II, Parasect, frog
Mr. Wonda Schiller, Ponyta, moose
Catherin Kilback, Jynx, hamster
Marilu Graham, Hypno, pig
Gertrudis Jaskolski, Dragonair, trout
Bobette Wolff, Cloyster, mosquito
Kurtis Schiller, Fearow, hornet
Refugio Runte, Rapidash, beetle
Jerrell Balistreri DVM, Ninetales, reindeer
Elsie Boehm, Nidoran, fish
Mervin Predovic, Venonat, prairie dog
Gigi Rogahn, Poliwrath, duck
Misha Barrows, Kingler, frog
Debrah Gleason, Gastly, crocodile
Ms. Franklin Schultz, Ivysaur, alpaca
Miss Earle Dare, Rhyhorn, fox
Mr. Stan Ebert, Arbok, guinea pig
Travis Weissnat IV, Geodude, serval
Dick Swaniawski, Marowak, antelope
Deidra Yundt, Nidoran, frog
Dr. Dong Zemlak, Starmie, salmon
Mr. Maxima Emard, Goldeen, gnat
Edwardo McGlynn Jr., Charmeleon, ox
Jasper Price, Omanyte, pig
Angla Howell, Seel, armadillo
Hobert Gerlach, Dragonite, lizard
Lou Kutch, Lapras, deer
Lilli Spencer, Aerodactyl, crocodile
Miss Cathleen Conroy, Dewgong, gerbil
Armida Johnston III, Ditto, deer
Harvey Bayer, Graveler, rabbit
Denny Farrell, Kabutops, ant
Louella Borer, Chansey, cheetah
Georgeann Cole, Mankey, antelope
Merri Reichert, Fearow, coyote
Pinkie Carroll DVM, Tentacruel, minnow
Clayton Champlin, Shellder, swan
Candra Jones, Caterpie, elephant
Cornelius Prosacco, Nidoran, giraffe
Zane Moen, Persian, goldfish
