Lindsey Kunze, Starmie, leopard
Annelle Okuneva, Muk, oyster
Chi Abbott, Arbok, oyster
Marjory Block, Parasect, wallaby
Karl Grant, Snorlax, jackal
Yael Stokes, Oddish, camel
Theo Konopelski, Muk, ant
Dr. Elroy Larson, Primeape, raccoon
Alverta Bernier, Scyther, wallaby
Kathern Spinka, Haunter, squirrel
Patrick Schiller, Ivysaur, clam
Ms. Monroe Nolan, Rattata, cockroach
Rupert Bartoletti, Seadra, fish
Julio Klocko, Scyther, hound
Carl Feil, Poliwrath, yak
Niki Williamson, Porygon, trout
Dr. Marylee Thiel, Onix, goat
Angeles Donnelly, Gastly, wasp
Garret Schaefer III, Tangela, macaw
Rebecca Breitenberg, Scyther, gnat
Harold Hermiston, Nidoran, elephant
Lina Keeling, Ninetales, walrus
Kayleigh Kutch, Geodude, dinosaur
Mose D'Amore, Tentacruel, turtle 
Rosita Baumbach V, Machop, donkey
Otto Adams, Golem, chimpanzee
Christal Fahey, Kakuna, herring
Dr. Tobi Schiller, Oddish, hound
Kyra Cummings, Squirtle, mallard
Sharonda Kovacek, Venomoth, mole
Kelley Gottlieb, Nidorina, coyote
Christian Bode, Pidgey, wildebeest
Mrs. Shiela Donnelly, Cubone, turtle 
Malcom Russel, Alakazam, lion
Napoleon Rogahn, Sandshrew, clam
Aurea McDermott DVM, Charmeleon, muskrat
Melva Nikolaus V, Jigglypuff, manatee
Colin Brakus, Diglett, mule
Jenee Bartell, Tauros, scorpion
Mario Bergstrom, Nidorina, kangaroo
Willy Stokes, Dragonair, cockroach
Gina Friesen IV, Hitmonlee, wombat
Erik Ullrich, Articuno, muskrat
Krystal Schiller, Blastoise, pig
Ms. Johnie Conroy, Lapras, hedgehog
Inell Hahn, Kabuto, wildebeest
Teresia Breitenberg, Spearow, impala
Manuel Graham Jr., Weepinbell, shark
Hollis Wilkinson, Dragonite, yak
Janay Homenick, Dratini, yellowjacket
