Dr. Gene Hammes, Omastar, ant
Elton Hintz, Magneton, mink
Jorge Gutmann DVM, Butterfree, grasshopper
Tiffaney Adams, Kingler, walrus
Debora Gaylord Sr., Doduo, macaw
Dr. Joni Schmitt, Dugtrio, baboon
Terina Medhurst, Tangela, antelope
Benjamin Prohaska, Tauros, trout
Wyatt Gislason DDS, Tentacruel, zebra
Katherina Nolan, Rhydon, squirrel
Roseanna Koch, Bellsprout, chinchilla
Octavio Walsh I, Abra, scorpion
Dr. Tobie Hermiston, Eevee, reindeer
Luella O'Hara PhD, Lapras, moose
Maryann Sawayn, Lickitung, monkey
Elroy Kiehn I, Aerodactyl, deer
Sharyn Stoltenberg, Tentacool, jackal
Tu Greenfelder PhD, Doduo, dolphin
Vicente Raynor I, Seaking, grasshopper
Alden Lubowitz, Pidgeotto, mosquito
Sylvester Hansen, Starmie, platypus
Mary Welch, Gastly, buffalo
Ahmed Mante, Muk, alpaca
Franklin Dibbert Jr., Hypno, mammoth
George Parker, Cubone, alligator
Mitchell McClure DVM, Dugtrio, sheep
Nieves Larson, Weedle, chimpanzee
Erin Effertz, Slowpoke, water buffalo
Earlene Gutkowski Jr., Marowak, guinea pig
Dina Roob, Rhydon, dog
Burt Schuster, Aerodactyl, guinea pig
Burma O'Hara, Krabby, moose
Cody Paucek, Flareon, gnat
Classie Kassulke, Lickitung, bat
Darell Yost, Alakazam, salmon
Erick Franecki, Ninetales, walrus
Arnetta Corkery, Machamp, salmon
Eleanora Hand, Diglett, jellyfish
Candi Nader, Rattata, clam
Andre Schultz MD, Mr. Mime, deer
Emanuel Stiedemann, Primeape, mammoth
Marica Jenkins, Ditto, bear
Gene Schaden II, Raticate, hornet
Kelvin Dooley, Arcanine, hamster
Joseph Roberts, Snorlax, herring
Robt Stroman, Primeape, raccoon
Corey Kiehn, Sandslash, serval
Marguerite Marquardt, Magneton, otter
Mrs. Kristal Morissette, Machop, otter
Janae Howe Jr., Jigglypuff, walrus
